0,15,0,20
8,35,18,50
4,28,63,0
45,0,12,10
0,45,0,5
0,49,14,0
4,60,0,42
18,24,0,16
0,40,25,49
4,42,50,0
4,0,20,0
0,24,12,0
8,24,85,45
77,4,20,12
24,40,30,0
54,4,16,49
21,6,84,49
30,60,15,14
55,15,0,32
0,24,0,0
12,0,0,20
25,25,12,8
65,12,0,54
25,30,35,21
0,10,0,0
42,7,25,4
14,25,30,21
0,0,70,25
6,20,16,60
40,18,0,0
30,0,32,10
14,10,35,5
20,30,42,44
18,30,18,36
15,42,4,0
0,15,40,35
60,30,10,0
28,48,8,0
8,0,14,36
0,14,0,30
56,4,18,65
0,5,0,6
36,0,12,0
42,28,77,0
14,21,42,35
36,5,21,0
7,15,0,91
0,44,0,42
6,10,10,48
18,0,70,48
6,0,20,28
0,35,32,36
49,10,0,40
7,15,42,98
16,0,35,21
0,0,28,0
28,8,0,45
154,48,4,85
132,0,16,4
24,15,14,10
21,7,14,4
35,36,16,12
21,63,18,20
14,36,20,21
16,84,28,5
45,91,6,20
0,20,70,4
21,21,44,4
35,0,0,5
40,28,7,0
24,0,10,60
18,0,0,28
42,49,18,4
0,21,15,32
18,21,12,18
12,28,7,42
4,0,0,0
42,20,55,42
56,7,12,5
24,84,5,0
21,0,24,45
10,0,8,5
30,7,25,0
54,0,7,42
12,10,0,56
0,28,0,6
40,0,24,0
7,0,5,28
35,25,75,0
0,24,60,35
21,24,0,40
21,24,5,24
28,0,14,42
49,8,30,8
60,0,6,75
40,32,0,0
12,8,8,36
7,0,24,0
0,70,0,36
0,14,24,0
20,21,28,48
42,28,7,42
28,35,66,36
56,4,24,42
18,25,66,0
0,56,0,24
14,0,5,0
0,0,8,72
6,14,77,0
16,5,28,20
4,6,45,4
5,36,12,32
30,30,14,21
10,52,7,30
56,44,18,45
7,28,12,6
8,36,5,12
0,60,25,0
42,0,5,15
16,28,0,10
91,6,30,35
24,35,25,6
0,0,5,0
35,60,0,12
40,77,28,0
7,60,12,70
44,20,7,0
44,44,42,7
0,20,0,35
0,36,10,18
35,0,21,0
12,66,0,8
54,14,77,63
21,15,84,48
0,10,105,15
0,6,60,4
36,25,6,8
14,45,14,0
18,63,6,40
20,30,48,30
0,0,40,25
6,35,0,12
4,77,28,14
32,84,15,0
5,18,12,0
0,25,0,56
20,32,0,20
8,105,0,56
21,7,6,12
0,0,20,5
12,0,4,20
60,35,0,28
35,0,40,21
25,6,28,16
10,5,21,30
154,20,24,25
8,7,12,0
7,6,20,24
15,70,32,49
7,5,48,7
98,32,0,45
42,14,14,21
44,18,0,21
12,4,0,60
25,0,0,0
18,36,30,20
8,6,15,7
16,5,0,35
0,18,10,42
42,10,40,0
20,36,4,7
15,0,21,28
18,25,4,18
40,40,24,36
6,5,55,10
0,0,24,0
28,84,6,48
0,161,4,6
0,20,36,4
0,42,21,42
96,0,42,0
6,7,4,20
42,10,28,16
4,35,20,0
0,50,36,0
6,14,10,25
7,35,7,10
30,14,77,35
45,55,0,4
20,16,25,8
60,18,0,30
0,10,24,24
5,0,14,0
0,18,4,14
7,15,4,40
0,48,0,12
18,49,0,6
12,0,30,5
24,32,0,30
35,40,10,77
12,91,6,119
24,24,5,28
25,0,28,14
36,21,60,12
10,7,21,6
30,0,28,25
14,30,36,24
8,0,0,4
25,0,8,10
20,12,32,4
20,30,24,7
28,32,10,0
8,0,49,0
30,24,48,0
5,7,10,16
70,77,48,16
21,0,4,21
4,0,5,0
0,4,4,35
21,36,4,5
63,36,10,0
28,0,6,0
7,35,4,8
66,25,12,0
15,36,36,12
8,5,0,20
48,32,21,30
48,10,5,15
54,63,0,28
0,0,0,56
28,49,15,20
0,18,48,0
24,50,7,14
0,0,44,0
15,8,42,0
42,12,0,48
0,8,28,0
0,5,15,36
7,0,21,0
0,0,55,42
12,42,35,4
28,15,25,55
18,7,30,12
6,12,35,28
6,28,7,7
0,70,75,4
0,45,78,42
0,12,28,35
15,10,4,0
30,5,0,40
15,0,6,30
10,12,0,35
28,84,15,70
0,48,36,56
0,25,0,45
21,63,8,12
0,7,30,30
6,12,54,0
15,0,4,28
0,56,7,0
0,15,72,0
20,14,0,0
25,42,15,0
20,56,0,10
28,0,36,20
44,0,18,40
10,0,35,0
12,6,15,0
4,24,6,40
36,60,12,60
24,0,6,0
28,28,7,28
0,28,8,35
15,18,35,18
0,56,7,20
6,18,6,36
6,0,14,63
18,12,20,0
30,14,15,5
48,16,21,0
7,24,0,56
24,4,6,10
0,6,72,60
24,28,4,35
8,8,35,21
36,28,8,7
36,30,0,5
10,18,15,30
12,21,7,70
25,24,0,24
42,0,0,12
16,4,6,70
0,54,63,18
6,0,20,21
49,0,20,36
10,0,35,8
0,21,7,0
84,0,35,0
60,20,0,28
0,42,4,5
14,60,6,8
24,10,108,21
0,0,12,35
28,12,12,0
40,14,0,20
24,24,0,7
0,55,42,0
32,45,18,6
36,36,12,30
30,14,42,4
12,14,4,133
5,48,0,5
0,0,7,20
0,24,24,20
0,4,72,0
15,8,20,10
42,77,15,12
0,30,4,16
0,0,45,6
7,10,0,10
0,10,25,8
60,30,91,28
14,7,6,0
5,12,0,24
15,10,45,36
0,16,7,12
4,30,4,0
50,10,24,0
7,0,18,6
20,15,12,8
0,6,54,30
60,15,0,5
12,5,20,10
14,24,30,20
5,12,24,0
55,65,10,0
6,0,54,16
6,24,6,28
35,54,0,25
25,55,0,35
0,10,6,30
0,0,0,6
60,8,24,5
48,63,36,7
40,4,28,10
16,30,0,45
50,7,24,20
16,36,5,4
0,20,4,44
0,0,15,10
63,20,10,14
12,0,10,10
24,24,8,12
0,0,35,0
7,4,72,0
20,8,35,98
12,35,24,25
0,12,7,0
25,30,55,0
24,0,50,6
18,70,4,0
18,30,7,20
60,0,24,40
48,10,4,0
6,5,35,28
0,42,8,0
42,75,30,14
16,0,0,64
35,32,30,0
12,40,10,21
36,42,0,0
12,50,0,0
4,5,21,35
24,60,12,35
28,0,36,0
4,4,4,66
42,0,18,42
32,12,42,0
64,0,120,10
15,77,12,18
0,108,0,6
0,24,12,4
15,25,30,0
75,20,21,0
25,20,8,28
5,4,14,7
8,30,0,4
30,0,0,24
35,12,66,0
0,7,49,7
20,14,0,32
15,8,7,20
10,40,20,5
12,6,5,21
36,20,7,8
20,15,60,30
15,14,20,84
